ID,Year_Birth,Age,Kidhome,Teenhome,Dt_Customer,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntOtherProds,NumStorePurchases,NumDealPurchases,NumWebPurchases,NumCatalogPurchases,NumWebVisitsMonth,MntTotal,ResponseCC
1,1961,63,0,0,1/09/2022,10672,115,1472,161,0,851,3,35,14,6,7,13271,0
9,1975,49,1,1,4/11/2020,1311,0,621,0,0,828,12,56,6,4,2,2760,0
13,1947,77,0,1,8/10/2021,437,0,115,0,0,184,6,42,2,0,3,736,0
17,1971,53,0,1,23/11/2021,14651,1081,5451,276,437,1748,12,35,12,22,7,23644,0
20,1965,59,0,1,18/11/2021,989,276,529,667,345,1403,3,28,4,2,4,4209,0
25,1958,66,0,1,2/02/2021,10580,805,9706,759,276,3519,6,28,12,12,7,25645,0
49,1970,54,1,0,28/07/2022,46,69,138,92,23,207,3,49,2,2,2,575,0
67,1972,52,1,1,5/12/2021,1564,0,368,0,0,184,9,49,4,0,4,2116,0
73,1953,71,1,2,12/08/2021,322,0,69,0,0,23,3,35,0,0,3,414,0
78,1969,55,1,0,2/12/2021,345,0,253,0,46,207,3,56,2,2,2,851,0
87,1981,43,1,0,12/11/2021,0,161,115,598,46,391,6,49,4,0,3,1311,0
115,1966,58,0,1,12/06/2021,6325,253,1564,575,161,161,9,35,10,2,8,9039,0
123,1951,73,0,1,25/03/2021,12512,805,3059,529,3473,2461,6,14,8,10,4,22839,0
143,1970,54,0,0,11/11/2021,10718,0,5152,2737,1127,2277,3,14,10,6,4,22011,0
146,1960,64,0,0,1/02/2022,17480,1219,9200,391,2139,0,3,14,8,10,11,30429,0
153,1953,71,0,0,3/01/2022,437,69,138,92,46,276,3,28,2,0,3,1058,0
164,1977,47,0,0,30/12/2020,4738,0,1058,69,46,276,6,56,10,2,5,6187,0
176,1980,44,0,1,21/03/2022,2070,874,1541,759,828,1541,3,21,8,2,6,7613,0
193,1996,28,0,0,6/05/2022,0,0,46,69,69,184,3,35,2,0,2,368,0
195,1972,52,1,0,12/11/2020,2875,391,1196,69,437,690,12,56,10,2,4,5658,0
199,1962,62,0,0,8/04/2021,5037,69,1380,276,207,276,3,49,8,2,7,7245,0
202,1948,76,0,0,22/06/2022,7636,4462,8671,3427,2875,1311,0,7,8,12,7,28382,0
213,1963,61,1,1,14/08/2022,805,0,253,0,0,46,12,49,4,2,3,1104,0
217,1956,68,0,0,9/02/2021,12788,322,16491,4830,0,989,3,28,14,10,10,35420,0
221,1955,69,0,1,14/07/2021,3174,69,874,92,0,1357,9,42,6,4,4,5566,0
232,1965,59,0,1,3/10/2021,6417,1909,2024,736,322,782,3,21,8,4,10,12190,0
234,1979,45,1,0,27/12/2020,23,46,184,92,69,299,6,49,2,2,2,713,0
236,1951,73,1,1,7/04/2021,644,529,667,667,322,1081,9,42,4,2,4,3910,0
246,1965,59,1,1,17/08/2022,4577,207,1311,460,483,138,21,28,8,2,7,7176,0
247,1971,53,1,0,3/02/2021,3956,230,2875,483,299,368,18,63,14,4,4,8211,0
252,1963,61,0,0,3/06/2021,2829,3059,3266,1633,1012,2024,3,42,12,4,8,13823,0
255,1951,73,1,1,16/06/2022,391,0,46,0,0,46,6,42,2,0,3,483,0
257,1959,65,0,1,15/07/2021,21896,276,4140,1081,276,276,6,21,10,8,9,27945,0
263,1945,79,0,0,14/08/2022,1288,437,667,46,322,575,3,56,6,2,3,3335,0
269,1963,61,0,1,2/02/2021,17871,690,3749,0,1173,2806,18,63,8,8,7,26289,0
271,1969,55,1,1,19/12/2021,3542,0,1150,138,253,851,15,42,6,8,3,5934,0
274,1973,51,1,1,11/03/2022,207,69,345,46,69,46,6,42,4,0,3,782,0
286,1952,72,1,1,15/02/2022,2185,253,805,0,92,161,12,42,4,2,5,3496,0
295,1989,35,0,0,5/10/2021,11339,1610,7452,3358,920,1932,3,7,6,14,11,26611,1
310,1970,54,0,1,1/03/2022,7590,115,3657,828,621,368,12,28,8,8,9,13179,0
332,1957,67,0,1,8/06/2021,4554,46,989,0,276,460,9,42,8,2,6,6325,0
339,1972,52,0,1,9/02/2021,10626,0,552,138,0,92,6,49,18,4,5,11408,0
340,1970,54,0,1,3/03/2021,3634,805,4117,0,0,2875,6,35,14,4,8,11431,0
347,1976,48,0,1,25/11/2020,5267,621,1633,299,69,782,12,63,14,2,5,8671,0
361,1969,55,1,1,7/05/2022,115,23,161,46,23,92,3,49,2,0,2,460,0
368,1974,50,0,1,15/02/2021,2093,1495,1196,230,1012,644,9,35,6,4,6,6670,0
375,1954,70,0,0,14/05/2021,11868,1288,10327,1978,759,368,3,7,4,4,11,26588,0
378,1971,53,0,0,18/03/2021,6509,2576,3473,1173,1656,2875,6,42,14,4,10,18262,0
405,1964,60,0,1,2/05/2021,7245,0,713,92,0,2093,12,56,10,10,3,10143,0
425,1985,39,2,0,8/05/2021,8602,1472,2668,1932,575,1472,9,35,12,4,11,16721,0
437,1976,48,0,0,13/04/2022,6762,3266,5014,3772,1334,3473,3,7,6,16,11,23621,0
451,1989,35,1,0,8/03/2022,207,0,161,46,0,92,3,56,2,2,2,506,0
453,1956,68,1,1,15/09/2022,621,0,276,0,23,115,6,35,4,0,3,1035,0
477,1986,38,0,0,3/09/2022,24380,1403,19205,1840,460,2323,3,7,8,14,10,49611,1
486,1988,36,0,0,21/04/2022,9982,3151,9200,1035,3151,1035,3,7,6,8,10,27554,1
523,1989,35,1,0,19/04/2021,529,0,598,161,345,69,3,35,4,0,4,1702,0
528,1978,46,0,0,15/02/2021,6141,874,16123,3427,3795,1449,3,21,10,8,10,31809,1
531,1954,70,0,1,9/12/2020,21643,322,9131,1748,1334,4048,33,42,16,10,9,38226,0
538,1989,35,1,0,29/04/2022,713,207,621,368,207,759,3,21,2,2,4,2875,0
544,1954,70,0,0,28/07/2021,9154,1403,6095,3174,1403,1219,3,7,6,8,6,22448,0
550,1952,72,0,1,9/08/2021,5589,3013,4991,1955,138,598,6,14,6,6,13,16284,0
569,1991,33,0,0,2/03/2022,16192,2967,19619,2760,1702,2553,3,14,10,12,7,45793,1
574,1964,60,0,0,10/07/2022,322,828,253,69,598,805,3,14,2,2,4,2875,0
590,1970,54,0,0,10/03/2021,18768,1518,12627,4968,1518,2277,3,21,10,12,4,41676,1
591,1957,67,0,1,8/04/2021,6739,805,4117,1058,1357,1495,6,49,16,6,7,15571,0
606,1967,57,1,1,27/12/2021,138,23,46,46,0,92,3,49,2,0,2,345,0
607,1955,69,0,1,2/05/2021,6946,667,3013,736,0,621,18,56,16,2,7,11983,0
618,1977,47,0,1,15/12/2020,9706,161,5474,1587,1058,345,3,28,14,4,12,18331,0
626,1951,73,1,1,26/05/2021,506,46,276,0,46,115,3,28,2,0,3,989,0
635,1966,58,1,1,5/06/2021,10672,115,1472,161,0,1610,24,56,18,2,7,14030,0
640,1951,73,0,1,28/05/2021,8188,1840,7567,3174,391,2438,6,35,14,12,10,23598,0
642,1980,44,1,0,31/10/2020,23,69,46,460,690,1081,9,56,4,2,2,2369,0
675,1973,51,1,1,3/08/2021,3358,0,2139,161,299,1679,15,49,8,4,5,7636,0
679,1957,67,1,1,7/12/2020,299,92,460,0,0,23,6,63,2,0,3,874,0
737,1949,75,0,0,20/05/2021,34339,1978,10442,2576,989,989,6,14,8,8,5,51313,0
738,1981,43,1,1,21/06/2022,1104,299,1311,552,345,575,12,49,6,2,4,4186,0
760,1975,49,1,0,26/10/2021,13524,161,1748,2530,345,345,6,42,16,8,9,18653,0
773,1971,53,1,1,16/09/2021,8717,92,2139,276,207,2254,21,42,12,12,4,13685,0
793,1973,51,1,0,23/12/2020,414,69,391,69,0,92,3,63,4,0,3,1035,0
796,1965,59,0,1,9/01/2021,13432,1012,4876,1058,184,4071,9,56,22,8,8,24633,0
810,1975,49,0,1,29/07/2022,3473,1863,1978,3864,2093,1472,6,14,8,4,11,14743,0
819,1945,79,0,0,22/01/2022,11684,2852,5727,1150,874,3082,3,21,12,10,13,25369,0
830,1987,37,0,0,13/05/2022,18032,1104,12880,966,4048,1104,3,21,8,12,4,38134,1
833,1955,69,1,1,16/06/2022,1288,0,322,0,0,46,9,49,6,0,3,1656,0
837,1977,47,1,1,28/11/2021,1449,138,1311,299,299,506,12,28,4,2,5,4002,0
839,1975,49,1,0,12/12/2021,2231,92,1012,138,23,414,3,35,6,2,4,3910,0
843,1971,53,1,0,12/08/2022,6969,0,6440,1380,3381,345,12,42,16,4,11,18515,0
850,1968,56,0,1,23/12/2021,8763,644,4945,1932,644,483,6,21,12,10,9,17411,0
851,1972,52,1,1,25/09/2021,7038,115,2507,483,2507,2116,27,42,10,4,10,14766,0
873,1949,75,1,1,18/12/2020,25277,0,1035,0,0,782,33,56,6,8,10,27094,0
879,1976,48,0,2,21/01/2022,9453,0,598,0,0,483,18,49,14,2,7,10534,0
898,1986,38,1,0,7/01/2022,874,345,1242,69,184,667,9,56,6,0,4,3381,0
905,1986,38,1,0,8/01/2022,161,391,414,138,230,598,12,56,8,0,3,1932,0
907,1975,49,0,1,15/02/2022,5842,138,1633,92,0,621,15,35,10,2,7,8326,0
922,1979,45,1,1,21/07/2021,368,46,253,69,0,368,6,56,2,2,2,1104,0
938,1981,43,1,1,16/10/2021,1173,23,161,46,23,575,6,56,4,2,2,2001,0
940,1987,37,1,0,4/08/2022,3634,253,2277,345,253,391,6,21,6,4,7,7153,0
942,1982,42,1,0,25/10/2020,3197,299,1794,460,299,828,9,63,14,2,3,6877,0
954,1960,64,0,0,13/06/2022,69,69,552,782,161,713,3,35,4,2,3,2346,0
961,1972,52,0,1,29/11/2021,3059,621,9683,299,4485,1633,6,28,14,6,5,19780,0
966,1966,58,0,1,21/09/2021,12374,299,2093,391,138,598,18,35,12,4,11,15893,0
967,1976,48,1,1,7/10/2021,7866,207,2576,437,322,437,30,49,10,4,9,11845,0
968,1968,56,1,0,14/03/2022,2576,437,483,368,322,115,9,49,8,2,4,4301,0
975,1956,68,1,1,14/08/2021,4094,92,598,184,92,1012,15,42,8,2,5,6072,0
979,1975,49,1,0,9/05/2021,138,230,483,437,322,966,6,42,4,2,3,2576,0
983,1984,40,1,0,15/12/2021,2530,667,2116,644,230,3335,3,56,12,4,3,9522,0
1020,1973,51,0,0,29/07/2022,8050,1380,13064,2530,3059,3335,3,14,10,12,7,31418,0
1031,1989,35,0,0,22/07/2021,13800,460,8050,667,690,759,3,14,12,18,10,24426,1
1041,1973,51,0,1,4/01/2021,7406,69,1150,92,69,966,15,56,14,2,6,9752,0
1048,1972,52,1,0,30/09/2021,1449,69,1541,184,207,644,6,49,6,2,4,4094,0
1052,1969,55,0,1,5/05/2021,15088,874,3703,1426,1081,851,9,49,16,18,7,23023,0
1055,1976,48,1,1,6/06/2022,667,0,184,46,0,138,3,28,2,0,3,1035,0
1064,1971,53,1,0,27/02/2022,506,23,253,0,115,69,3,56,2,0,3,966,0
1065,1963,61,0,0,17/03/2022,12811,2967,22632,4439,851,414,3,14,10,16,5,44114,0
1071,1976,48,0,1,7/10/2021,12236,2024,3864,1587,1012,3059,9,35,14,6,13,23782,0
1072,1965,59,0,1,16/11/2021,1610,0,391,0,0,138,6,42,4,2,3,2139,0
1079,1971,53,0,1,2/01/2021,23000,0,1748,0,0,230,9,56,6,8,9,24978,0
1081,1957,67,1,2,13/06/2021,16859,207,4140,276,437,1518,33,28,12,6,5,23437,0
1092,1980,44,0,1,28/10/2020,6187,2967,11385,4186,989,667,12,49,18,6,4,26381,0
1103,1976,48,1,0,16/12/2020,34178,1265,6394,1127,0,4255,6,42,8,8,10,47219,1
1118,1956,68,0,1,9/05/2021,12512,299,1955,184,138,667,9,56,20,8,5,15755,0
1127,1973,51,0,0,15/08/2022,21574,437,19389,575,2185,874,3,14,12,12,7,45034,1
1131,1967,57,0,1,22/06/2022,1955,0,69,0,0,161,3,21,4,0,4,2185,0
1139,1984,40,0,0,25/04/2022,24150,322,7406,0,322,2576,3,14,10,22,5,34776,0
1143,1972,52,1,0,25/10/2021,161,230,299,69,253,253,6,49,4,0,3,1265,0
1158,1966,58,0,1,24/03/2022,2346,23,345,46,0,552,3,49,6,0,4,3312,0
1162,1987,37,0,0,29/03/2021,2852,1909,6141,1955,1357,805,6,35,10,4,11,15019,0
1165,1958,66,1,1,19/07/2021,5497,299,3289,1035,92,1196,27,42,12,4,7,11408,0
1168,1978,46,0,0,15/01/2021,7406,1219,20677,782,920,1219,3,14,8,12,10,32223,1
1170,1975,49,1,0,11/06/2021,1150,345,2530,897,345,345,12,56,10,2,4,5612,0
1172,1983,41,0,0,18/07/2021,22517,1012,21505,667,575,506,3,21,14,10,12,46782,1
1175,1983,41,0,0,7/12/2021,2024,897,1242,1472,644,3519,3,42,6,10,3,9798,0
1176,1973,51,1,0,9/12/2021,46,138,92,69,23,207,3,56,2,0,2,575,0
1183,1949,75,1,1,8/12/2021,207,23,92,69,46,69,3,42,2,0,2,506,0
1204,1970,54,0,1,8/08/2021,28819,0,10281,529,1633,805,9,56,22,10,11,42067,1
1212,1973,51,1,0,30/10/2021,8832,575,6716,2990,943,1472,9,42,16,16,6,21528,0
1241,1984,40,1,0,4/12/2020,299,69,184,161,92,368,6,63,2,0,3,1173,0
1250,1976,48,1,0,26/04/2022,782,138,483,253,92,184,3,42,4,2,3,1932,0
1272,1965,59,0,1,7/01/2021,15272,1334,1909,736,0,1518,12,35,14,10,10,20769,0
1307,1978,46,0,1,28/04/2022,621,115,184,184,69,276,9,28,6,0,4,1449,0
1321,1974,50,1,0,21/01/2022,506,46,414,0,46,276,9,56,6,0,3,1288,0
1328,1982,42,0,1,5/05/2022,6003,966,3312,1265,1104,3059,9,21,8,8,9,15709,1
1362,1972,52,0,0,21/05/2021,759,2001,1472,4025,368,1702,3,49,12,2,6,10327,0
1381,1982,42,1,0,16/04/2022,3956,69,2645,368,0,414,15,56,12,2,5,7452,0
1384,1992,32,1,0,9/02/2022,138,92,322,184,184,506,6,56,4,2,2,1426,0
1388,1975,49,1,0,9/05/2021,138,230,483,437,322,966,6,42,4,2,3,2576,0
1399,1958,66,0,0,9/04/2022,9361,2622,10235,4163,3795,4669,3,7,6,14,9,34845,0
1406,1975,49,1,1,1/05/2021,6440,161,1863,460,0,621,24,49,12,6,5,9545,0
1407,1986,38,1,0,15/01/2021,92,276,115,69,368,391,6,49,4,0,3,1311,0
1446,1956,68,0,0,22/06/2022,8901,1564,13087,2047,1035,1564,3,7,12,18,12,28198,0
1448,1963,61,1,2,11/09/2022,483,276,276,0,69,69,9,28,4,0,4,1173,0
1453,1943,81,0,0,22/09/2021,16905,920,4209,1196,460,690,6,42,18,6,13,24380,0
1456,1979,45,0,1,18/06/2021,6095,4577,6969,5382,207,3910,21,49,20,4,12,27140,0
1458,1982,42,1,0,26/03/2022,184,69,437,69,69,184,9,42,6,0,3,1012,0
1459,1966,58,0,1,24/01/2021,15318,805,2852,1587,184,598,3,21,10,6,5,21344,0
1463,1958,66,1,1,15/06/2022,184,46,115,69,0,69,3,49,2,0,2,483,0
1490,1962,62,0,1,14/02/2021,15525,0,1955,230,161,1771,15,56,20,6,8,19642,0
1497,1952,72,0,1,7/04/2021,6164,253,2024,345,69,506,6,35,12,6,5,9361,0
1506,1975,49,1,1,14/09/2021,1104,207,1035,69,345,460,12,42,4,2,4,3220,0
1518,1965,59,1,1,3/09/2021,8717,138,3611,575,2093,2093,15,49,18,6,7,17227,0
1523,1973,51,1,1,24/07/2022,1587,46,345,46,46,138,6,35,4,0,4,2208,0
1524,1983,41,0,0,18/05/2021,16307,1035,2645,690,3680,1035,3,35,16,4,5,25392,0
1542,1975,49,1,2,18/03/2022,7981,0,805,92,69,161,18,35,8,4,8,9108,0
1544,1967,57,0,0,10/03/2021,17043,1564,15847,5152,1564,2369,3,14,8,4,10,43539,1
1545,1986,38,1,0,19/10/2021,2760,437,4738,575,437,1242,18,56,14,4,5,10189,0
1577,1946,78,0,0,8/05/2022,12834,1817,14306,4761,4025,2185,3,7,8,12,4,39928,0
1600,1965,59,2,1,28/12/2021,6716,69,1771,230,69,598,21,49,12,6,5,9453,0
1604,1960,64,0,1,30/01/2022,4232,46,437,184,184,92,9,35,4,4,6,5175,0
1619,1956,68,0,0,15/07/2022,6716,1173,22563,5152,529,391,3,7,8,12,6,36524,0
1626,1973,51,1,1,5/08/2022,345,0,184,92,46,460,6,35,2,2,2,1127,0
1627,1957,67,0,0,14/04/2021,9384,1403,2507,1104,2806,943,3,28,10,14,9,18147,0
1630,1979,45,0,1,24/10/2021,3726,1150,2300,1265,690,621,3,28,8,4,8,9752,0
1640,1954,70,1,1,8/09/2022,1518,0,368,0,138,460,6,21,2,2,4,2484,0
1646,1972,52,1,0,2/06/2022,92,207,276,253,46,184,6,21,2,2,3,1058,0
1650,1960,64,0,0,9/07/2021,17917,1978,12351,782,1587,3174,3,21,10,18,12,37789,1
1665,1964,60,0,2,10/12/2021,33557,0,1403,0,345,4945,15,35,4,10,6,40250,1
1710,1978,46,1,0,24/05/2021,3542,460,1518,0,276,621,21,63,12,2,4,6417,0
1740,1944,80,0,0,24/06/2022,17480,874,2392,1150,207,874,6,28,14,6,4,22977,0
1743,1974,50,0,0,12/08/2022,6279,1978,4784,4071,322,989,3,7,4,6,5,18423,0
1744,1965,59,0,1,26/03/2021,207,161,299,69,46,460,3,42,2,2,2,1242,0
1745,1962,62,0,0,20/07/2021,16422,1748,9085,2668,0,276,3,7,8,12,9,30199,0
1764,1975,49,1,0,26/10/2021,2300,46,2944,529,161,230,12,56,10,2,5,6210,0
1772,1975,49,0,0,30/03/2021,24702,851,11914,4439,2116,2967,3,14,10,12,7,46989,1
1773,1978,46,0,0,20/02/2021,115,138,345,253,161,299,3,63,4,0,3,1311,0
1829,1961,63,0,1,7/04/2021,26404,0,1380,0,0,552,9,49,18,10,4,28336,0
1833,1974,50,1,0,13/07/2022,1564,184,414,437,184,276,6,35,4,2,4,3059,0
1834,1978,46,1,0,25/05/2022,690,115,529,92,23,92,3,49,4,0,3,1541,0
1839,1974,50,0,0,8/07/2022,1288,161,1104,230,46,414,3,49,6,0,4,3243,0
1857,1952,72,1,1,23/05/2022,1058,0,276,0,46,529,6,49,4,2,2,1909,0
1867,1957,67,0,0,30/01/2021,14996,1104,8050,2162,1932,2484,3,35,18,6,6,30728,0
1876,1990,34,0,0,5/05/2021,736,0,184,529,92,414,3,42,2,0,4,1955,0
1878,1985,39,0,0,7/05/2022,92,138,184,138,69,230,3,49,4,0,3,851,0
1891,1980,44,0,0,25/10/2020,15341,1150,19550,483,1909,1909,3,14,8,12,5,40342,1
1915,1951,73,0,0,28/02/2022,18262,2645,5589,3450,0,4715,3,21,16,10,6,34661,0
1916,1954,70,0,1,10/10/2021,4324,69,4140,460,69,989,15,49,14,2,6,10051,0
1920,1972,52,1,1,15/10/2021,1012,92,483,138,0,621,6,49,6,0,3,2346,0
1921,1967,57,2,1,20/12/2021,1058,23,276,69,0,207,6,28,4,0,3,1633,0
1928,1973,51,1,0,28/04/2021,805,69,460,92,23,460,6,63,4,0,3,1909,0
1940,1986,38,1,0,28/09/2021,23,69,92,46,46,138,3,56,2,0,2,414,0
1945,1962,62,0,1,5/12/2021,16353,828,4991,3956,2208,3864,9,28,14,8,7,32200,0
1951,1981,43,0,0,15/04/2021,5244,2806,2806,4784,2967,690,18,63,22,4,8,19297,0
1968,1971,53,1,0,18/02/2022,115,23,115,230,0,161,3,49,2,0,2,644,0
1990,1974,50,0,0,22/01/2021,22195,782,13478,2047,1978,851,3,21,6,10,8,41331,1
1998,1976,48,1,0,26/04/2022,782,138,483,253,92,184,3,42,4,2,3,1932,0
2002,1958,66,0,0,6/08/2021,13501,1173,21436,4140,782,1978,3,21,10,12,5,43010,0
2005,1990,34,1,0,27/02/2022,506,69,690,0,115,345,6,42,4,0,4,1725,1
2008,1978,46,0,0,29/04/2022,8556,529,8832,5750,276,2484,3,14,8,10,9,26427,0
2055,1973,51,1,1,5/08/2022,345,0,184,92,46,460,6,35,2,2,2,1127,0
2079,1947,77,0,0,15/03/2022,10350,598,12305,1679,2254,598,3,7,10,12,10,27784,0
2109,1990,34,0,0,10/07/2021,10304,1633,21873,920,391,391,3,14,12,22,10,35512,1
2118,1964,60,0,1,27/11/2021,3818,1725,2208,2737,2461,1357,9,28,14,4,8,14306,0
2134,1952,72,0,1,3/11/2020,6049,115,5359,1587,943,1909,12,35,10,10,8,15962,0
2150,1958,66,0,1,28/07/2021,19780,644,9407,1679,1288,1288,3,28,16,18,4,34086,0
2154,1971,53,1,1,13/03/2021,345,0,276,161,69,161,9,49,4,0,3,1012,0
2156,1955,69,1,1,20/01/2021,621,0,230,0,0,92,12,35,4,0,4,943,0
2162,1976,48,0,1,5/12/2021,5888,782,2369,2070,667,1127,6,21,6,6,10,12903,0
2166,1960,64,1,1,28/09/2021,276,23,69,0,0,161,3,28,0,2,2,529,0
2173,1952,72,0,1,2/01/2022,299,138,161,0,69,69,3,42,2,0,3,736,0
2181,1970,54,0,0,9/09/2021,8119,1403,17319,920,1058,621,3,14,6,6,7,29440,0
2217,1975,49,1,1,15/06/2021,253,23,46,46,23,138,3,42,0,0,3,529,0
2223,1965,59,0,1,20/10/2020,27945,759,5727,1472,2668,3427,24,42,16,18,8,41998,0
2245,1969,55,1,1,9/07/2021,1311,46,1173,92,46,529,9,42,4,2,4,3197,0
2246,1965,59,0,1,18/11/2021,989,276,529,667,345,1403,3,28,4,2,4,4209,0
2253,1990,34,0,0,5/05/2021,736,0,184,529,92,414,3,42,2,0,4,1955,0
2254,1983,41,0,0,23/09/2021,14421,2760,9522,2783,1840,2139,3,35,18,12,5,33465,1
